                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55449,                0.40666,                0.97204,                0.99513,                      1,                  0.995,                0.87163,                0.54593,                0.40368,                 0.9481,              0.0013268,              0.0013268,              0.0013268
                     37,                0.59097,                0.41027,                 1.0275,                0.99518,                      1,                  0.995,                0.85234,                0.65182,                0.44742,                0.99928,               0.001307,               0.001307,               0.001307
                     38,                0.59994,                 0.4105,                0.99823,                 0.9955,                      1,                  0.995,                0.81817,                0.65458,                0.45174,                 1.0137,              0.0012872,              0.0012872,              0.0012872
                     39,                0.63072,                0.43937,                 1.0323,                0.99061,                      1,                  0.995,                0.84248,                0.67707,                 0.4089,                 1.0388,              0.0012674,              0.0012674,              0.0012674
                     40,                0.56737,                 0.4049,                 1.0078,                0.99514,                      1,                  0.995,                0.88214,                0.56058,                0.34936,                0.95819,              0.0012476,              0.0012476,              0.0012476
                     41,                0.54994,                0.37402,                0.97585,                0.97404,                      1,                  0.995,                0.86955,                0.59865,                0.35939,                0.97921,              0.0012278,              0.0012278,              0.0012278
                     42,                0.55801,                0.37359,                  1.007,                0.99543,                      1,                  0.995,                0.88027,                 0.5822,                0.32197,                0.96252,               0.001208,               0.001208,               0.001208
                     43,                0.55856,                0.39149,                 1.0006,                0.94793,                      1,                  0.995,                0.87279,                0.58193,                0.36524,                0.96207,              0.0011882,              0.0011882,              0.0011882
                     44,                0.55013,                0.40211,                0.99914,                0.99465,                      1,                  0.995,                0.87142,                0.57798,                0.37405,                0.96867,              0.0011684,              0.0011684,              0.0011684
                     45,                0.56347,                0.39632,                0.99422,                0.99524,                      1,                  0.995,                0.90845,                0.52388,                0.33284,                0.93131,              0.0011486,              0.0011486,              0.0011486
                     46,                0.54291,                0.39388,                 0.9937,                0.99536,                      1,                  0.995,                0.91231,                0.50459,                0.31854,                0.92151,              0.0011288,              0.0011288,              0.0011288
                     47,                0.51522,                0.36097,                0.94377,                0.99506,                      1,                  0.995,                0.89978,                0.54237,                0.35497,                0.96563,               0.001109,               0.001109,               0.001109
                     48,                0.47708,                0.33799,                0.96965,                 0.9947,                      1,                  0.995,                0.89288,                0.53288,                0.33516,                0.93632,              0.0010892,              0.0010892,              0.0010892
                     49,                 0.4992,                0.35097,                0.98347,                0.99498,                      1,                  0.995,                0.87874,                0.51921,                0.33164,                0.93091,              0.0010694,              0.0010694,              0.0010694
                     50,                0.48949,                0.33728,                0.95774,                0.99546,                      1,                  0.995,                0.88999,                0.48971,                0.29613,                0.91142,              0.0010496,              0.0010496,              0.0010496
                     51,                0.49587,                0.35234,                0.94998,                0.99524,                      1,                  0.995,                 0.8673,                0.51511,                0.29193,                 0.9249,              0.0010298,              0.0010298,              0.0010298
                     52,                0.48494,                 0.3593,                0.94516,                 0.9955,                      1,                  0.995,                0.86686,                0.60186,                0.31504,                0.96703,                0.00101,                0.00101,                0.00101
                     53,                0.45554,                0.33039,                0.95782,                 0.9955,                      1,                  0.995,                0.85829,                0.64878,                0.37758,                0.99485,              0.0009902,              0.0009902,              0.0009902
                     54,                0.48423,                0.35451,                0.96942,                0.99545,                      1,                  0.995,                0.84145,                0.63436,                0.38431,                0.99368,              0.0009704,              0.0009704,              0.0009704
                     55,                0.44017,                0.33251,                0.94597,                0.99541,                      1,                  0.995,                0.81896,                0.66592,                0.35061,                  1.011,              0.0009506,              0.0009506,              0.0009506
                     56,                0.49151,                0.33644,                0.96421,                0.99527,                      1,                  0.995,                0.87629,                0.55117,                0.32081,                0.94737,              0.0009308,              0.0009308,              0.0009308
                     57,                0.42429,                0.30187,                0.91394,                 0.9954,                      1,                  0.995,                0.89973,                0.55343,                  0.339,                 0.9544,               0.000911,               0.000911,               0.000911
                     58,                0.52949,                 0.3535,                 1.0009,                0.99546,                      1,                  0.995,                0.87783,                0.57051,                0.35869,                 0.9718,              0.0008912,              0.0008912,              0.0008912
                     59,                0.45167,                0.32194,                0.93668,                0.99518,                      1,                  0.995,                0.87207,                0.55738,                0.29554,                0.95733,              0.0008714,              0.0008714,              0.0008714
                     60,                0.44914,                 0.3255,                0.93058,                0.99505,                      1,                  0.995,                0.89206,                0.50948,                0.31078,                0.91677,              0.0008516,              0.0008516,              0.0008516
                     61,                0.44283,                 0.3187,                 0.9435,                0.99518,                      1,                  0.995,                0.89444,                0.48583,                0.29739,                0.89189,              0.0008318,              0.0008318,              0.0008318
                     62,                0.43524,                 0.3127,                0.93395,                0.99531,                      1,                  0.995,                0.91984,                0.44966,                0.28207,                0.87536,               0.000812,               0.000812,               0.000812
                     63,                0.41235,                0.31654,                 0.9436,                0.99541,                      1,                  0.995,                0.91449,                0.48755,                0.27949,                0.90062,              0.0007922,              0.0007922,              0.0007922
                     64,                0.44493,                0.31429,                 0.9691,                0.99544,                      1,                  0.995,                0.90613,                0.50595,                0.26653,                0.90619,              0.0007724,              0.0007724,              0.0007724
                     65,                0.44184,                0.31907,                0.94531,                0.99539,                      1,                  0.995,                0.88044,                0.51059,                0.26514,                 0.9133,              0.0007526,              0.0007526,              0.0007526
                     66,                0.38849,                 0.2947,                0.89789,                0.99469,                      1,                  0.995,                0.88514,                0.49828,                0.28402,                0.91498,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.4408,                0.31105,                0.92622,                0.98121,                      1,                  0.995,                0.89505,                0.48973,                0.29728,                0.91321,               0.000713,               0.000713,               0.000713
                     68,                0.38902,                0.27907,                  0.921,                0.99545,                      1,                  0.995,                0.91072,                  0.479,                0.26567,                0.89565,              0.0006932,              0.0006932,              0.0006932
                     69,                0.38637,                0.28264,                0.90915,                0.99548,                      1,                  0.995,                0.89633,                0.49887,                0.29058,                0.90672,              0.0006734,              0.0006734,              0.0006734
                     70,                0.39896,                0.30159,                0.93057,                0.99546,                      1,                  0.995,                0.88334,                0.53844,                0.29087,                0.93257,              0.0006536,              0.0006536,              0.0006536
                     71,                 0.3892,                0.28043,                0.90818,                0.99554,                      1,                  0.995,                0.89469,                0.50744,                0.27296,                0.92195,              0.0006338,              0.0006338,              0.0006338
                     72,                0.38806,                0.27507,                0.91754,                0.99544,                      1,                  0.995,                 0.8791,                0.54472,                 0.2886,                0.94359,               0.000614,               0.000614,               0.000614
                     73,                 0.3693,                0.26752,                 0.9121,                0.99549,                      1,                  0.995,                0.86818,                0.56605,                0.29987,                0.96055,              0.0005942,              0.0005942,              0.0005942
                     74,                0.39773,                0.28521,                0.91461,                0.99546,                      1,                  0.995,                0.86908,                0.59704,                0.28878,                0.97454,              0.0005744,              0.0005744,              0.0005744
                     75,                0.37977,                0.27384,                0.89843,                0.99543,                      1,                  0.995,                0.90371,                0.52897,                0.25784,                0.91377,              0.0005546,              0.0005546,              0.0005546
                     76,                0.36757,                0.27851,                0.92166,                0.99544,                      1,                  0.995,                0.91211,                0.50913,                0.26869,                0.89689,              0.0005348,              0.0005348,              0.0005348
                     77,                0.34845,                0.26219,                0.89398,                0.99551,                      1,                  0.995,                0.89797,                0.52367,                0.26749,                0.90387,               0.000515,               0.000515,               0.000515
                     78,                0.37539,                0.29049,                0.91446,                0.99559,                      1,                  0.995,                 0.9009,                0.51359,                0.24466,                0.90563,              0.0004952,              0.0004952,              0.0004952
