                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.5955,                0.44561,                  1.079,                0.94602,                      1,                  0.995,                0.75705,                0.83257,                0.70026,                 1.2724,               0.008317,               0.008317,               0.008317
                     36,                0.62668,                0.48296,                 1.0996,                0.97244,                      1,                  0.995,                0.76513,                 0.7354,                0.58175,                 1.1846,              0.0082675,              0.0082675,              0.0082675
                     37,                0.60133,                0.46587,                 1.0517,                0.99054,                      1,                  0.995,                0.71901,                0.93045,                0.57232,                 1.4239,               0.008218,               0.008218,               0.008218
                     38,                0.59602,                0.46153,                 1.0617,                0.99443,                      1,                  0.995,                0.79067,                0.86847,                0.46067,                 1.3845,              0.0081685,              0.0081685,              0.0081685
                     39,                0.52066,                0.42701,                  1.035,                0.99294,                      1,                  0.995,                0.75747,                0.91335,                0.59218,                  1.427,               0.008119,               0.008119,               0.008119
                     40,                0.58191,                0.42089,                 1.0433,                0.97293,                      1,                  0.995,                0.78902,                0.83933,                 0.5637,                 1.3385,              0.0080695,              0.0080695,              0.0080695
                     41,                0.59561,                 0.4364,                 1.0457,                0.91159,                      1,                0.98885,                 0.7804,                0.84136,                0.66161,                 1.3317,                0.00802,                0.00802,                0.00802
                     42,                 0.5009,                0.40514,                 1.0275,                0.92079,                0.97032,                0.98885,                 0.8009,                0.80402,                 0.6132,                 1.3381,              0.0079705,              0.0079705,              0.0079705
                     43,                0.53409,                0.39789,                 1.0119,                0.99261,                      1,                  0.995,                 0.7992,                0.78491,                0.45592,                 1.3031,               0.007921,               0.007921,               0.007921
                     44,                0.52752,                0.38318,                 1.0018,                0.91703,                      1,                0.98885,                 0.8236,                0.70178,                0.44145,                 1.2397,              0.0078715,              0.0078715,              0.0078715
                     45,                0.50702,                0.38048,                 1.0316,                  0.917,                      1,                0.98885,                0.83241,                0.64215,                0.41414,                 1.2278,               0.007822,               0.007822,               0.007822
                     46,                0.54944,                0.40652,                 1.0385,                0.90799,                      1,                0.97577,                0.78863,                0.78731,                0.53014,                 1.3456,              0.0077725,              0.0077725,              0.0077725
                     47,                0.49295,                0.39164,                0.98438,                 0.9145,                      1,                0.98269,                0.79804,                0.82866,                0.49986,                 1.3214,               0.007723,               0.007723,               0.007723
                     48,                0.51846,                0.41183,                 1.0217,                0.92115,                      1,                  0.995,                0.78424,                0.85326,                0.50318,                 1.3254,              0.0076735,              0.0076735,              0.0076735
                     49,                0.49532,                0.36619,                 1.0125,                0.98536,                      1,                  0.995,                0.83791,                 0.6892,                0.45203,                 1.1712,               0.007624,               0.007624,               0.007624
                     50,                0.49591,                0.39398,                 1.0072,                0.98294,                      1,                  0.995,                0.81937,                 0.7541,                0.41884,                 1.1911,              0.0075745,              0.0075745,              0.0075745
                     51,                0.50457,                0.39188,                 1.0175,                0.99019,                      1,                  0.995,                0.78874,                0.84685,                0.45082,                 1.3526,               0.007525,               0.007525,               0.007525
                     52,                0.49493,                0.38262,                 1.0163,                0.99355,                      1,                  0.995,                0.80393,                0.80655,                0.41463,                 1.2846,              0.0074755,              0.0074755,              0.0074755
                     53,                0.47799,                0.37191,                0.99448,                0.99248,                      1,                  0.995,                 0.8273,                0.79503,                0.45814,                 1.3087,               0.007426,               0.007426,               0.007426
                     54,                0.52445,                0.40089,                 1.0208,                0.99059,                      1,                  0.995,                 0.8042,                 0.8474,                0.48065,                 1.3799,              0.0073765,              0.0073765,              0.0073765
                     55,                0.46233,                0.36354,                0.98987,                0.99069,                      1,                  0.995,                0.82552,                0.77757,                0.39975,                 1.3241,               0.007327,               0.007327,               0.007327
                     56,                0.49132,                0.39826,                      1,                0.99077,                      1,                  0.995,                0.81579,                 0.9013,                0.44801,                 1.3963,              0.0072775,              0.0072775,              0.0072775
                     57,                0.49544,                0.38746,                 1.0207,                0.98615,                      1,                  0.995,                0.80557,                 0.8492,                0.42924,                 1.3609,               0.007228,               0.007228,               0.007228
                     58,                0.47677,                0.35993,                0.98746,                0.98804,                      1,                  0.995,                0.79971,                0.79287,                0.44601,                 1.4773,              0.0071785,              0.0071785,              0.0071785
                     59,                0.48129,                0.38664,                0.98253,                0.99435,                      1,                  0.995,                0.79972,                0.73137,                0.37079,                 1.4166,               0.007129,               0.007129,               0.007129
