                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88693,                 5.3889,                 1.2885,                0.01807,                 0.4375,                0.02039,                0.01502,                0.71659,                 4.8845,                 1.0933,                  6e-05,                  6e-05,                  6e-05
                      2,                0.82683,                 5.1266,                 1.2374,                0.67436,                   0.75,                0.80418,                0.68883,                0.59991,                 5.6965,                 1.0165,             0.00013884,             0.00013884,             0.00013884
                      3,                0.78431,                 2.2336,                 1.2288,                0.93946,                0.97085,                0.98029,                0.77379,                0.64917,                 9.2103,                 1.0356,             0.00021637,             0.00021637,             0.00021637
                      4,                0.62941,                 1.4863,                 1.0809,                0.53543,                      1,                0.95366,                0.79758,                0.64582,                 6.2946,                  1.031,             0.00029257,             0.00029257,             0.00029257
                      5,                0.70405,                 1.2576,                 1.1554,                0.92641,                      1,                0.98794,                0.83331,                0.64322,                 3.6157,                 1.0666,             0.00036746,             0.00036746,             0.00036746
                      6,                0.74716,                 1.0356,                 1.1829,                0.18018,                      1,                0.18091,                0.14573,                 0.7256,                 10.944,                 1.1354,             0.00044102,             0.00044102,             0.00044102
                      7,                0.82619,                0.96226,                 1.2238,                0.37879,                      1,                0.52329,                0.41514,                0.70419,                  4.398,                  1.143,             0.00051327,             0.00051327,             0.00051327
                      8,                0.72883,                0.90654,                 1.1312,                 0.9745,                 0.9375,                0.98553,                0.82114,                0.63688,                 1.9052,                 1.0417,              0.0005842,              0.0005842,              0.0005842
                      9,                0.71573,                0.80654,                  1.187,                0.93402,                      1,                  0.995,                0.83467,                0.63963,                 1.9053,                 1.0992,              0.0006538,              0.0006538,              0.0006538
                     10,                 0.7112,                0.77541,                 1.1318,                0.99505,                      1,                  0.995,                0.82724,                0.66399,                 1.1677,                 1.2271,             0.00072209,             0.00072209,             0.00072209
                     11,                0.66732,                0.62951,                 1.0814,                      1,                 0.6875,                 0.9356,                0.76206,                0.70556,                 3.6207,                 1.2369,             0.00078905,             0.00078905,             0.00078905
                     12,                0.78833,                0.75689,                 1.1511,                0.96886,                      1,                  0.995,                0.81729,                0.69399,                 1.9294,                 1.2051,             0.00085469,             0.00085469,             0.00085469
                     13,                0.70464,                0.65915,                 1.0336,                0.67395,                0.90504,                0.83215,                0.56214,                0.95184,                 2.9698,                  1.328,             0.00091902,             0.00091902,             0.00091902
                     14,                0.77069,                 0.7498,                 1.1128,                0.81529,                  0.875,                0.87259,                0.64986,                0.84299,                 1.7791,                  1.265,             0.00098203,             0.00098203,             0.00098203
